calendar.year,variable,value
2076,Annual PIA,0.1969789234702922
2077,Annual PIA,0.1981062736796429
2078,Annual PIA,0.1970395816444867
2079,Annual PIA,0.19599369816081746
2080,Annual PIA,0.1977728537538905
2081,Annual PIA,0.19734624909140788
2082,Annual PIA,0.19810847140364582
2083,Annual PIA,0.19720613557165856
2084,Annual PIA,0.19848306249921663
2085,Annual PIA,0.1993257604798176
2086,Annual PIA,0.1999300084414346
2087,Annual PIA,0.2046626124782345
2088,Annual PIA,0.2051497396922437
2089,Annual PIA,0.20564409012031842
2090,Annual PIA,0.2061403659007983
2005,Increase Benefits Taxation,0.11088980239288546
2006,Increase Benefits Taxation,0.11009089601242979
2007,Increase Benefits Taxation,0.1123532664358174
2008,Increase Benefits Taxation,0.11533282945655698
2009,Increase Benefits Taxation,0.12744613244971578
2010,Increase Benefits Taxation,0.13811924563224573
2011,Increase Benefits Taxation,0.13686109240963185
2012,Increase Benefits Taxation,0.13844612298021564
2013,Increase Benefits Taxation,0.13957097916062566
2014,Increase Benefits Taxation,0.14085104582818858
2015,Increase Benefits Taxation,0.13029758248501164
2016,Increase Benefits Taxation,0.1364699620268973
2017,Increase Benefits Taxation,0.1351618491666298
2018,Increase Benefits Taxation,0.13656906493143828
2019,Increase Benefits Taxation,0.13839363952519115
2020,Increase Benefits Taxation,0.14125822880379335
2021,Increase Benefits Taxation,0.14201258940670974
2022,Increase Benefits Taxation,0.14577457398804805
2023,Increase Benefits Taxation,0.1465595540107535
2024,Increase Benefits Taxation,0.15088704560245722
2025,Increase Benefits Taxation,0.1543861690032262
2026,Increase Benefits Taxation,0.15511577854026604
2027,Increase Benefits Taxation,0.15763782871218482
2028,Increase Benefits Taxation,0.15852529799594936
2029,Increase Benefits Taxation,0.16046180494839335
2030,Increase Benefits Taxation,0.1619641328646755
2031,Increase Benefits Taxation,0.16334664785108444
2032,Increase Benefits Taxation,0.16405322824618748
2033,Increase Benefits Taxation,0.16721787853238448
2034,Increase Benefits Taxation,0.1692332479461314
2035,Increase Benefits Taxation,0.16950580376837887
2036,Increase Benefits Taxation,0.16863866991395896
2037,Increase Benefits Taxation,0.16914256218456383
2038,Increase Benefits Taxation,0.16906475893634987
2039,Increase Benefits Taxation,0.16898375529559595
2040,Increase Benefits Taxation,0.16922678779013553
2041,Increase Benefits Taxation,0.16796713569162366
2042,Increase Benefits Taxation,0.16804161384572402
2043,Increase Benefits Taxation,0.16870411643865327
2044,Increase Benefits Taxation,0.168688196232363
2045,Increase Benefits Taxation,0.1662299763132218
2046,Increase Benefits Taxation,0.16718563048949692
2047,Increase Benefits Taxation,0.1667996103337772
2048,Increase Benefits Taxation,0.16648682532172035
2049,Increase Benefits Taxation,0.1672641624322055
2050,Increase Benefits Taxation,0.16776228902376022
2051,Increase Benefits Taxation,0.1666396753034127
2052,Increase Benefits Taxation,0.16775185366666978
2053,Increase Benefits Taxation,0.16714510470574517
2054,Increase Benefits Taxation,0.16790497058279405
2055,Increase Benefits Taxation,0.1689515133213341
2056,Increase Benefits Taxation,0.16872224977615358
2057,Increase Benefits Taxation,0.16851207449625735
2058,Increase Benefits Taxation,0.16940500217738433
2059,Increase Benefits Taxation,0.17121940313011266
2060,Increase Benefits Taxation,0.17051626336991116
2061,Increase Benefits Taxation,0.1730502192283278
2062,Increase Benefits Taxation,0.17299982209004736
2063,Increase Benefits Taxation,0.17448992356518433
2064,Increase Benefits Taxation,0.17425079813540562
2065,Increase Benefits Taxation,0.1734265906016073
2066,Increase Benefits Taxation,0.17315892854191134
2067,Increase Benefits Taxation,0.17645366110204316
2068,Increase Benefits Taxation,0.17551335856929942
2069,Increase Benefits Taxation,0.17657416819930633
2070,Increase Benefits Taxation,0.1778180234143914
2071,Increase Benefits Taxation,0.17835413066699754
2072,Increase Benefits Taxation,0.17799298513005052
2073,Increase Benefits Taxation,0.17859925180096206
2074,Increase Benefits Taxation,0.17860418104440576
2075,Increase Benefits Taxation,0.18028939603308747
2076,Increase Benefits Taxation,0.17965418855317694
2077,Increase Benefits Taxation,0.18067041819897378
2078,Increase Benefits Taxation,0.17972358842409897
2079,Increase Benefits Taxation,0.1787327769747848
2080,Increase Benefits Taxation,0.1803454914206109
2081,Increase Benefits Taxation,0.17996075210368817
2082,Increase Benefits Taxation,0.18060648796515927
2083,Increase Benefits Taxation,0.1797984558841232
2084,Increase Benefits Taxation,0.18091441968961466
2085,Increase Benefits Taxation,0.1817025388129262
2086,Increase Benefits Taxation,0.18227171345721074
2087,Increase Benefits Taxation,0.1864220210284454
2088,Increase Benefits Taxation,0.1868649070622434
2089,Increase Benefits Taxation,0.18731438205410797
2090,Increase Benefits Taxation,0.18776563151013928
2005,Cap Spouse Benefits,0.11088980239288546
2006,Cap Spouse Benefits,0.11009089601242979
2007,Cap Spouse Benefits,0.1123532664358174
2008,Cap Spouse Benefits,0.11533282945655698
2009,Cap Spouse Benefits,0.12744613244971578
2010,Cap Spouse Benefits,0.13811924563224573
2011,Cap Spouse Benefits,0.13686109240963185
2012,Cap Spouse Benefits,0.13844612298021564
2013,Cap Spouse Benefits,0.13957097916062566
2014,Cap Spouse Benefits,0.14085104582818858
2015,Cap Spouse Benefits,0.13029758248501164
2016,Cap Spouse Benefits,0.1364699620268973
2017,Cap Spouse Benefits,0.1351618491666298
2018,Cap Spouse Benefits,0.13656906493143828
2019,Cap Spouse Benefits,0.13839363952519115
2020,Cap Spouse Benefits,0.14125822880379335
2021,Cap Spouse Benefits,0.14201265458759732
2022,Cap Spouse Benefits,0.14575417680792868
2023,Cap Spouse Benefits,0.14648910003255614
2024,Cap Spouse Benefits,0.15074998755117316
2025,Cap Spouse Benefits,0.15413903594696393
2026,Cap Spouse Benefits,0.15473923966455683
2027,Cap Spouse Benefits,0.15707801891119216
2028,Cap Spouse Benefits,0.15780612844235256
2029,Cap Spouse Benefits,0.15956405325809764
2030,Cap Spouse Benefits,0.16091379239938255
2031,Cap Spouse Benefits,0.16216089484243423
2032,Cap Spouse Benefits,0.16276248915064578
2033,Cap Spouse Benefits,0.1657833907779008
2034,Cap Spouse Benefits,0.16766398460648757
2035,Cap Spouse Benefits,0.16783713428283206
2036,Cap Spouse Benefits,0.16690767020457234
2037,Cap Spouse Benefits,0.16732599455245734
2038,Cap Spouse Benefits,0.16718773890715183
2039,Cap Spouse Benefits,0.1670196194621644
2040,Cap Spouse Benefits,0.16719060761126606
2041,Cap Spouse Benefits,0.16588914149138595
2042,Cap Spouse Benefits,0.165944504699332
2043,Cap Spouse Benefits,0.1665674459959376
2044,Cap Spouse Benefits,0.16649429914804892
2045,Cap Spouse Benefits,0.16405130576337199
2046,Cap Spouse Benefits,0.1649463986717264
2047,Cap Spouse Benefits,0.16448915079552975
2048,Cap Spouse Benefits,0.16417055178542114
2049,Cap Spouse Benefits,0.16491090421078294
2050,Cap Spouse Benefits,0.16537820163782058
2051,Cap Spouse Benefits,0.16425121555690161
2052,Cap Spouse Benefits,0.16533145078909603
2053,Cap Spouse Benefits,0.16473601295895254
2054,Cap Spouse Benefits,0.16544430888698994
2055,Cap Spouse Benefits,0.16648493716946536
2056,Cap Spouse Benefits,0.16625781902231843
2057,Cap Spouse Benefits,0.16606884291418186
2058,Cap Spouse Benefits,0.16696812479558323
2059,Cap Spouse Benefits,0.16873730576938425
2060,Cap Spouse Benefits,0.16805204172560373
2061,Cap Spouse Benefits,0.1705675696530334
2062,Cap Spouse Benefits,0.17051854575898015
2063,Cap Spouse Benefits,0.17199885070172327
2064,Cap Spouse Benefits,0.1717804070545226
2065,Cap Spouse Benefits,0.17094857315213038
2066,Cap Spouse Benefits,0.17070272414347015
2067,Cap Spouse Benefits,0.17398061708380683
2068,Cap Spouse Benefits,0.17305280730677655
2069,Cap Spouse Benefits,0.1740963990523862
2070,Cap Spouse Benefits,0.1753199776868757
2071,Cap Spouse Benefits,0.1758062004584072
2072,Cap Spouse Benefits,0.17544696115965336
2073,Cap Spouse Benefits,0.17602418088685964
2074,Cap Spouse Benefits,0.1760180743090593
2075,Cap Spouse Benefits,0.1776259695609308
2076,Cap Spouse Benefits,0.1769467538772555
2077,Cap Spouse Benefits,0.1779266007755003
2078,Cap Spouse Benefits,0.17699914988721485
2079,Cap Spouse Benefits,0.17600807832456608
2080,Cap Spouse Benefits,0.1775391674914803
2081,Cap Spouse Benefits,0.17716837207050984
2082,Cap Spouse Benefits,0.17782125566107562
2083,Cap Spouse Benefits,0.1770328095285987
2084,Cap Spouse Benefits,0.17811692661002998
2085,Cap Spouse Benefits,0.17891075109161264
2086,Cap Spouse Benefits,0.17947076224194125
2087,Cap Spouse Benefits,0.18356110352965183
2088,Cap Spouse Benefits,0.18399705062361438
2089,Cap Spouse Benefits,0.18443948719673728
2090,Cap Spouse Benefits,0.18488367456819332
2005,75% Survivor Benefit,0.11088980239288546
2006,75% Survivor Benefit,0.11009089601242979
2007,75% Survivor Benefit,0.1123532664358174
2008,75% Survivor Benefit,0.11533282945655698
2009,75% Survivor Benefit,0.12744613244971578
2010,75% Survivor Benefit,0.13811924563224573
2011,75% Survivor Benefit,0.13686109240963185
2012,75% Survivor Benefit,0.13844612298021564
2013,75% Survivor Benefit,0.13957097916062566
2014,75% Survivor Benefit,0.14085104582818858
2015,75% Survivor Benefit,0.13029758248501164
2016,75% Survivor Benefit,0.1364699620268973
2017,75% Survivor Benefit,0.1351618491666298
2018,75% Survivor Benefit,0.13656906493143828
2019,75% Survivor Benefit,0.13839363952519115
2020,75% Survivor Benefit,0.14125822880379335
2021,75% Survivor Benefit,0.14201265458759732
2022,75% Survivor Benefit,0.14571791251980248
2023,75% Survivor Benefit,0.1463717837431228
2024,75% Survivor Benefit,0.1504923329345207
2025,75% Survivor Benefit,0.1536446056812974
2026,75% Survivor Benefit,0.15401559228566256
2027,75% Survivor Benefit,0.15603496136105707
2028,75% Survivor Benefit,0.15648205195913495
2029,75% Survivor Benefit,0.15795818729002423
2030,75% Survivor Benefit,0.15900361405570423
2031,75% Survivor Benefit,0.15999282165283155
2032,75% Survivor Benefit,0.16028296274276774
2033,75% Survivor Benefit,0.1630423214388183
2034,75% Survivor Benefit,0.16468899089373337
2035,75% Survivor Benefit,0.16465223441787794
2036,75% Survivor Benefit,0.16363580001064243
2037,75% Survivor Benefit,0.16388322689641374
2038,75% Survivor Benefit,0.16369848649328983
2039,75% Survivor Benefit,0.16357180799858842
2040,75% Survivor Benefit,0.16363218492013581
2041,75% Survivor Benefit,0.16237096690408537
2042,75% Survivor Benefit,0.16249187062120896
2043,75% Survivor Benefit,0.16317200785238647
2044,75% Survivor Benefit,0.16314832160413573
2045,75% Survivor Benefit,0.16098133930323577
2046,75% Survivor Benefit,0.16195313112061707
2047,75% Survivor Benefit,0.16176161094670172
2048,75% Survivor Benefit,0.16158963502796048
2049,75% Survivor Benefit,0.16250011821232135
2050,75% Survivor Benefit,0.16308244322314985
2051,75% Survivor Benefit,0.16220000640759724
2052,75% Survivor Benefit,0.16337073075046443
2053,75% Survivor Benefit,0.162886038233476
2054,75% Survivor Benefit,0.16376031787830134
2055,75% Survivor Benefit,0.16488762309073465
2056,75% Survivor Benefit,0.16489895661810744
2057,75% Survivor Benefit,0.1648304123939997
2058,75% Survivor Benefit,0.16587920019035976
2059,75% Survivor Benefit,0.16772203016601675
2060,75% Survivor Benefit,0.1673138768330909
2061,75% Survivor Benefit,0.16983200253286404
2062,75% Survivor Benefit,0.16986035486521417
2063,75% Survivor Benefit,0.17146078484260413
2064,75% Survivor Benefit,0.17131875736192642
2065,75% Survivor Benefit,0.17053640044344512
2066,75% Survivor Benefit,0.1702146156652166
2067,75% Survivor Benefit,0.17350720666969277
2068,75% Survivor Benefit,0.1726302450451453
2069,75% Survivor Benefit,0.1737294510736855
2070,75% Survivor Benefit,0.1749611636961869
2071,75% Survivor Benefit,0.17552712625466016
2072,75% Survivor Benefit,0.1752651167414418
2073,75% Survivor Benefit,0.1758909271192541
2074,75% Survivor Benefit,0.17587308731897852
2075,75% Survivor Benefit,0.17763294731019075
2076,75% Survivor Benefit,0.1770872560402566
2077,75% Survivor Benefit,0.17808541246921825
2078,75% Survivor Benefit,0.1772295833512588
2079,75% Survivor Benefit,0.17632178115876085
2080,75% Survivor Benefit,0.17807256475957683
2081,75% Survivor Benefit,0.17770990096116918
2082,75% Survivor Benefit,0.17841875837697763
2083,75% Survivor Benefit,0.17759087671810228
2084,75% Survivor Benefit,0.17869178489439044
2085,75% Survivor Benefit,0.1794382540586423
2086,75% Survivor Benefit,0.1799371476214175
2087,75% Survivor Benefit,0.18385107245802393
2088,75% Survivor Benefit,0.18428772284977432
2089,75% Survivor Benefit,0.18473087280339168
2090,75% Survivor Benefit,0.185175775953998
2005,90% Tax Max,0.11088980239288546
2006,90% Tax Max,0.11009089601242979
2007,90% Tax Max,0.1123532664358174
2008,90% Tax Max,0.11533282945655698
2009,90% Tax Max,0.12744613244971578
2010,90% Tax Max,0.13811924563224573
2011,90% Tax Max,0.13686109240963185
2012,90% Tax Max,0.13844612298021564
2013,90% Tax Max,0.13957097916062566
2014,90% Tax Max,0.14085104582818858
2015,90% Tax Max,0.13029758248501164
2016,90% Tax Max,0.1328292304327986
2017,90% Tax Max,0.12931285283326655
2018,90% Tax Max,0.1294679441942889
2019,90% Tax Max,0.12948234249581508
2020,90% Tax Max,0.1317129868479131
2021,90% Tax Max,0.13154133911580398
2022,90% Tax Max,0.13505590114332017
2023,90% Tax Max,0.1343494987398481
2024,90% Tax Max,0.1378146625478031
2025,90% Tax Max,0.14148967954955627
2026,90% Tax Max,0.1412296823425578
2027,90% Tax Max,0.14411972822753547
2028,90% Tax Max,0.1444136046576379
2029,90% Tax Max,0.14622946096920506
2030,90% Tax Max,0.14821384180915106
2031,90% Tax Max,0.14970871871875624
2032,90% Tax Max,0.14969330173255055
2033,90% Tax Max,0.15202257916056303
2034,90% Tax Max,0.154533013133053
2035,90% Tax Max,0.15568845701230483
2036,90% Tax Max,0.15435484468453045
2037,90% Tax Max,0.15466901635953703
2038,90% Tax Max,0.1553376001246936
2039,90% Tax Max,0.15496517475994892
2040,90% Tax Max,0.15532527629199191
2041,90% Tax Max,0.15413581617044164
2042,90% Tax Max,0.1541617251135348
2043,90% Tax Max,0.1552745585402945
2044,90% Tax Max,0.1555505026505112
2045,90% Tax Max,0.15320026129809616
2046,90% Tax Max,0.15338279131195545
2047,90% Tax Max,0.1540150406153073
2048,90% Tax Max,0.15355170207768462
2049,90% Tax Max,0.15456979863625298
2050,90% Tax Max,0.15612520308071542
2051,90% Tax Max,0.15390338577789892
2052,90% Tax Max,0.15589781013792636
2053,90% Tax Max,0.1543236712245068
2054,90% Tax Max,0.1558420132751154
2055,90% Tax Max,0.15680824541750815
2056,90% Tax Max,0.15763743448389697
2057,90% Tax Max,0.15696519749130655
2058,90% Tax Max,0.15841983166110757
2059,90% Tax Max,0.16089861582024254
2060,90% Tax Max,0.15885592229427414
2061,90% Tax Max,0.16230841059623063
2062,90% Tax Max,0.16104045497811628
2063,90% Tax Max,0.16401843529935997
2064,90% Tax Max,0.16365063799463062
2065,90% Tax Max,0.16384700158075166
2066,90% Tax Max,0.16160711214735649
2067,90% Tax Max,0.16670615183409554
2068,90% Tax Max,0.16468182046458518
2069,90% Tax Max,0.16532694069386242
2070,90% Tax Max,0.16683708656119517
2071,90% Tax Max,0.16823695729943822
2072,90% Tax Max,0.1679672623184676
2073,90% Tax Max,0.16771369232271904
2074,90% Tax Max,0.1675944216697816
2075,90% Tax Max,0.16984793992852437
2076,90% Tax Max,0.16874633604251293
2077,90% Tax Max,0.1703659837788088
2078,90% Tax Max,0.16978547374493314
2079,90% Tax Max,0.16848275217029715
2080,90% Tax Max,0.1702588951127649
2081,90% Tax Max,0.1698687906689844
2082,90% Tax Max,0.1703637565829668
2083,90% Tax Max,0.16905654342255166
2084,90% Tax Max,0.17092711465113442
2085,90% Tax Max,0.17243494867595563
2086,90% Tax Max,0.17199916126262177
2087,90% Tax Max,0.1770381688526662
2088,90% Tax Max,0.17745917986004014
2089,90% Tax Max,0.17788644334020282
2090,90% Tax Max,0.17831538147371231
2005,90% Tax Max and 13.4% Payroll Tax,0.11088980239288546
2006,90% Tax Max and 13.4% Payroll Tax,0.11009089601242979
2007,90% Tax Max and 13.4% Payroll Tax,0.1123532664358174
2008,90% Tax Max and 13.4% Payroll Tax,0.11533282945655698
2009,90% Tax Max and 13.4% Payroll Tax,0.12744613244971578
2010,90% Tax Max and 13.4% Payroll Tax,0.13811924563224573
2011,90% Tax Max and 13.4% Payroll Tax,0.13686109240963185
2012,90% Tax Max and 13.4% Payroll Tax,0.13844612298021564
2013,90% Tax Max and 13.4% Payroll Tax,0.13957097916062566
2014,90% Tax Max and 13.4% Payroll Tax,0.14085104582818858
2015,90% Tax Max and 13.4% Payroll Tax,0.13029768900796565
2016,90% Tax Max and 13.4% Payroll Tax,0.1328849835367461
2017,90% Tax Max and 13.4% Payroll Tax,0.12942243134814624
2018,90% Tax Max and 13.4% Payroll Tax,0.12963519674570492
2019,90% Tax Max and 13.4% Payroll Tax,0.12971063141031747
2020,90% Tax Max and 13.4% Payroll Tax,0.13200524624057733
2021,90% Tax Max and 13.4% Payroll Tax,0.1318938259590549
2022,90% Tax Max and 13.4% Payroll Tax,0.13547910169692357
2023,90% Tax Max and 13.4% Payroll Tax,0.13483383860771636
2024,90% Tax Max and 13.4% Payroll Tax,0.13837592076980157
2025,90% Tax Max and 13.4% Payroll Tax,0.14212752978264476
2026,90% Tax Max and 13.4% Payroll Tax,0.14186302381014618
2027,90% Tax Max and 13.4% Payroll Tax,0.14475651513110707
2028,90% Tax Max and 13.4% Payroll Tax,0.14504679579310562
2029,90% Tax Max and 13.4% Payroll Tax,0.14686356842096565
2030,90% Tax Max and 13.4% Payroll Tax,0.1488467828115717
2031,90% Tax Max and 13.4% Payroll Tax,0.15033801187039508
2032,90% Tax Max and 13.4% Payroll Tax,0.15031429396435833
2033,90% Tax Max and 13.4% Payroll Tax,0.15264913138258712
2034,90% Tax Max and 13.4% Payroll Tax,0.15515934990141558
2035,90% Tax Max and 13.4% Payroll Tax,0.15630708414610694
2036,90% Tax Max and 13.4% Payroll Tax,0.15495932032553528
2037,90% Tax Max and 13.4% Payroll Tax,0.15526532333413207
2038,90% Tax Max and 13.4% Payroll Tax,0.15592602199835212
2039,90% Tax Max and 13.4% Payroll Tax,0.1555455322397645
2040,90% Tax Max and 13.4% Payroll Tax,0.15589689727264733
2041,90% Tax Max and 13.4% Payroll Tax,0.15469579959354565
2042,90% Tax Max and 13.4% Payroll Tax,0.15471171668994152
