option,text,oguo1,oguo2,oguo3,insolvency1,insolvency2,insolvency3,actuarial.balance1,actuarial.balance2,actuarial.balance3
Increase FRA and EEA,"<p><strong>Increase full retirement age and earliest eligibility age</strong> indefinitely raises Social Security&#39;s earliest eligibility age (which is currently 62), full retirement age (which is currently increasing and will reach 67 for individuals who turn 62 in 2022), and the age for receiving delayed retirement credits; these ages will be raised by by one month every two years beginning in 2024.</p>",<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$9.09 trillion,.</p>, <p><strong>Insolvency year</strong> remains at,2034,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-2.28%,.
"$150,000 tax max","<p><strong>$150,000 tax max</strong> increases the cap on annual earnings subject to the Social Security payroll tax and entered in the benefits calculation; this increase will be from $118,500 in 2016 to $150,000 over three years beginning in 2016. After 2018, the taxable maximum is indexed to the average wage index plus 0.5 percent.</p>",<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$9.90 trillion,.</p>, <p><strong>Insolvency year</strong> increases from 2034 to,2035,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-2.41%,.
"$180,000 tax max","<p><strong>$180,000 tax max</strong> increases the cap on annual earnings subject to the Social Security payroll tax and entered in the benefits calculation; this increase will be from $118,500 in 2016 to $180,000 over four years beginning in 2016. After 2019, the taxable maximum is indexed to the average wage indexing series plus 0.5 percent.</p>",<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$9.31 trillion,.</p>, <p><strong>Insolvency year</strong> increases from 2034 to,2036,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-2.25%,.
Eliminate the tax max,<p><strong>Eliminate the tax max</strong> eliminates the cap on annual earnings subject to the Social Security payroll tax and entered in the benefits calculation. This increase occurs immediately in 2016.</p>,<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$5.04 trillion,.</p>, <p><strong>Insolvency year</strong> increases from 2034 to,2055,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-1.16%,.
13.4% payroll tax,"<p><strong>13.4 percent payroll tax</strong> increases the payroll and self-employment tax rates from 12.4 percent to 13.4 percent over 10 years beginning in 2016. It also evenly splits the payroll-tax increase between employees and employers, but employers reduce employees&#39; total earnings each year by the employer&#39;s share of the payroll tax.</p>",<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$7.52 trillion,.</p>, <p><strong>Insolvency year</strong> increases from 2034 to,2039,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-1.93%,.
14.4% payroll tax,"<p><strong>14.4 percent payroll tax</strong> increases the payroll and self-employment tax rates from 12.4 percent to 14.4 percent over 10 years beginning in 2016. It also evenly splits the payroll-tax increase between employees and employers, but employers reduce employees&#39; total earnings each year by the employer&#39;s share of the payroll tax.</p>",<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$3.84 trillion,.</p>, <p><strong>Insolvency year</strong> increases from 2034 to,2051,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-1.06%,.
15.4% payroll tax,"<p><strong>15.4 payroll payroll tax</strong> increases the payroll and self-employment tax rates from 12.4 percent to 15.4 percent over 10 years beginning in 2016. It also evenly splits the payroll-tax increase between employees and employers, but employers reduce employees&#39; total earnings each year by the employer&#39;s share of the payroll tax.</p>",<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$0.18 trillion,.</p>, <p><strong>Insolvency year</strong> increases from 2034 to,2088,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-0.19%,.
Basic minimum benefit,"<p><strong>Basic minimum benefit</strong> creates a basic minimum benefit (BMB) for all Social Security beneficiaries above the full retirement age beginning in 2020. The BMB for a single beneficiary would be $604 per month (in $2015) minus 60 percent of monthly Old Age and Survivors Insurance (OASI) benefits. The BMB for a married beneficiary would be $906 (in $2015) minus 75 percent of monthly OASI benefits. The BMB is floored at zero.  Single tax filers with adjusted gross income over $30,000, and joint filers with adjusted gross income over $45,000 would have their BMB clawed back through the income tax system dollar-for-dollar for adjusted gross income above the threshold. BMB benefits are paid from the OASI Trust Fund.</p>",<p><strong>Open group unfunded obligation</strong> increases from $11.24 trillion to,$12.44 trillion,.</p>, <p><strong>Insolvency year</strong> decreases from 2034 to,2033,.</p>,<p><strong>75 year actuarial balance</strong> worsens from -2.81% to,-3.09%,.
Increase COLA,<p><strong>Increase cost-of-living adjustment</strong> increases beneficiaries&#39; annual cost-of-living adjustment using the elderly consumer price index (calculated as the CPI-W plus 0.2 percentage points) beginning in 2016.</p>,<p><strong>Open group unfunded obligation</strong> increases from $11.24 trillion to,$12.84 trillion,.</p>, <p><strong>Insolvency year</strong> decreases from 2034 to,2033,.</p>,<p><strong>75 year actuarial balance</strong> worsens from -2.81% to,-3.19%,.
Cap COLA,<p><strong>Cap cost-of-living adjustment</strong> caps the Social Security cost-of-living adjustment at the amount paid for the 60th percentile primary insurance account beginning in 2016.</p>,<p><strong>Open group unfunded obligation</strong> decreases from $11.24 trillion to,$10.25 trillion,.</p>, <p><strong>Insolvency year</strong> remains at,2034,.</p>,<p><strong>75 year actuarial balance</strong> improves from -2.81% to,-2.57%,
NULL,"<p><strong>Current law payable </strong>assumes that current public policies, business practices, and individual behaviors continue and that Social Security benefits are paid as promised even after the trust fund runs out. </p><p><strong>Current law scheduled </strong>assumes that current public policies, business practices, and individual behaviors continue but reduces Social Security benefits by a uniform amount after the trust fund runs out so that all benefits in each year can be paid out of revenues from that year.</p>",<p><strong>Open group unfunded obligation</strong> is,$11.24 trillion,.</p>,<p><strong>Insolvency year</strong> is ,2034,.</p>,<p><strong>75 year actuarial balance</strong> is,-2.81%,.
